Local Government Area,Year ending,Latitude (generated),Longitude (generated),Alleged Offender Incident Rate (SUM),Alleged Offender Incidents (SUM),Criminial Incident Rate (SUM),Family Incident Count (SUM),Family Incident Rate (SUM),Incidents Recorded (SUM),Offence_Count ,Offence Rate (SUM),Victimisation Rate (SUM),Victim Reports (SUM),LGA
 Alpine,June,-36.835,146.9875,2154.267567,277,3421.941262,122,948.8109862,440,595,4627.397843,1780.964884,229, ALPINE
 Ararat,June,-37.49,142.7959,4788.5079,568,8472.624013,298,2512.280553,1005,1390,11718.3556,4265.818657,506, ARARAT
 Ballarat,June,-37.5197,143.7675,3046.483332,3396,7613.51709,1960,1758.276599,8487,11132,9986.293419,4460.28125,4972, BALLARAT
 Banyule,June,-37.7329,145.0873,2371.33548,3139,5242.018762,1383,1044.777626,6939,9700,7327.7968,2832.155691,3749, BANYULE
 Bass Coast,June,-38.4854,145.5539,2578.982433,956,5014.987807,739,1993.585793,1859,2595,7000.480559,2808.285265,1041, BASS COAST
 Baw Baw,June,-37.9698,146.1069,3253.96071,1779,6599.376189,788,1441.327172,3608,4801,8781.486997,3433.212058,1877, BAW BAW
 Bayside,June,-37.9392,145.0176,1220.025726,1314,3776.137465,709,658.2939422,4067,5386,5000.805603,2588.608619,2788, BAYSIDE
 Benalla,June,-36.5933,146.0311,3879.907525,546,6764.966967,387,2750.044345,952,1222,8683.602557,3560.134927,501, BENALLA
 Boroondara,June,-37.8272,145.0612,1034.061946,1907,3674.254719,950,515.1331144,6776,8803,4773.386111,2583.799253,4765, BOROONDARA
 Brimbank,June,-37.7427,144.8055,3117.510617,6553,7447.201464,2946,1401.523924,15654,20242,9629.88706,3894.390647,8186, BRIMBANK
 Buloke,June,-35.8476,142.9926,2136.728746,130,4618.621367,55,904.0006233,281,366,6015.713239,2695.565495,164, BULOKE
 Campaspe,June,-36.3059,144.716,3701.218484,1393,7062.339361,728,1934.305137,2658,3878,10303.89467,3467.401379,1305, CAMPASPE
 Cardinia,June,-38.096,145.5677,2285.442724,2678,4657.933678,1527,1303.163196,5458,7247,6184.691346,2480.874533,2907, CARDINIA
 Casey,June,-38.096,145.3139,2234.962469,8162,4771.132818,5055,1384.187121,17424,23613,6465.837881,2823.686962,10312, CASEY
 Central Goldfields,June,-36.9796,143.7055,3870.995161,512,6524.743797,377,2850.322609,863,1244,9405.308555,3424.923453,453, CENTRAL GOLDFIELDS
 Colac-Otway,June,-38.4326,143.5582,3543.092091,765,6414.617708,377,1746.072834,1385,1780,8244.057415,3061.416826,661, COLAC-OTWAY
 Corangamite,June,-38.2137,143.1285,2003.569444,319,3617.730407,156,979.8019853,576,714,4484.478317,1909.357715,304, CORANGAMITE
 Darebin,June,-37.7396,145.0069,2545.219634,4220,7058.460989,1801,1086.241839,11703,15161,9144.09357,4338.332897,7193, DAREBIN
 East Gippsland,June,-37.3568,148.5201,4528.627227,2164,7699.084828,1540,3222.775383,3679,4969,10398.68239,4185.422575,2000, EAST GIPPSLAND
 Frankston,June,-38.1352,145.1745,3984.607063,5728,7848.173339,2727,1897.001303,11282,15061,10476.98446,4040.953637,5809, FRANKSTON
 Gannawarra,June,-35.732,143.8004,3721.680499,389,5663.842816,202,1932.595015,592,775,7414.659092,2477.931232,259, GANNAWARRA
 Glen Eira,June,-37.899,145.041,1284.055013,2021,4013.545532,1043,662.6765853,6317,7956,5054.894451,2735.844081,4306, GLEN EIRA
 Glenelg,June,-37.891,141.3503,3535.048847,694,5852.696146,365,1859.211569,1149,1598,8139.781063,2939.082399,577, GLENELG
 Golden Plains,June,-37.853,143.839,713.7428827,173,1939.070259,139,573.469715,470,632,2607.430646,1274.835553,309, GOLDEN PLAINS
 Greater Bendigo,June,-36.7237,144.2902,3639.497799,4367,6902.294659,2040,1700.154685,8282,11216,9347.517133,3562.824157,4275, GREATER BENDIGO
 Greater Dandenong,June,-38.0022,145.1912,3968.072703,6745,8582.685347,2778,1634.292953,14589,18940,11142.37168,4557.547699,7747, GREATER DANDENONG
 Greater Geelong,June,-38.0512,144.3879,2808.541789,7436,6475.584854,3993,1508.137085,17145,22844,8628.070015,3605.478741,9546, GREATER GEELONG
 Greater Shepparton,June,-36.4275,145.3781,4913.93059,3286,9488.402189,1611,2409.112045,6345,8843,13223.9465,4876.545238,3261, GREATER SHEPPARTON
 Hepburn,June,-37.314,144,1867.293196,300,4350.793148,185,1151.497471,699,851,5296.888367,2720.023756,437, HEPBURN
 Hindmarsh,June,-36.0285,141.7125,2223.773468,123,4628.341528,56,1012.449709,256,356,6436.287437,2766.157241,153, HINDMARSH
 Hobsons Bay,June,-37.8565,144.8365,2156.292781,2126,4814.638678,1114,1129.873075,4747,6100,6186.917198,2648.20341,2611, HOBSONS BAY
 Horsham,June,-36.8279,142.1088,4485.560582,894,7350.499164,550,2759.573065,1465,2279,11434.6673,3567.375362,711, HORSHAM
 Hume,June,-37.5971,144.8235,3057.366787,7381,6487.946889,4221,1748.427748,15663,21529,8917.768536,3572.243757,8624, HUME
 Indigo,June,-36.2089,146.6609,1122.779586,189,2637.640932,159,944.5606039,444,563,3344.576226,1514.861346,255, INDIGO
 Kingston,June,-38.0038,145.1106,2265.25633,3783,5347.274392,1693,1013.766579,8930,12087,7237.682596,3002.377806,5014, KINGSTON
 Knox,June,-37.8981,145.2642,2369.4793,3916,5490.463527,1911,1156.301058,9074,12115,7330.500951,3113.72331,5146, KNOX
 Latrobe,June,-38.2537,146.4552,6962.143504,5285,13290.64632,2389,3147.125985,10089,13724,18079.17833,6659.155235,5055, LATROBE
 Loddon,June,-36.3998,143.8945,2496.511721,187,4886.220801,105,1401.784656,366,490,6541.661728,2910.371952,218, LODDON
 Macedon Ranges,June,-37.333,144.6347,1638.001464,836,3407.278164,466,913.0486628,1739,2451,4802.322473,1735.968058,886, MACEDON RANGES
 Manningham,June,-37.7577,145.185,1067.039743,1373,2786.893312,764,593.7497184,3586,4729,3675.186411,1818.552802,2340, MANNINGHAM
 Mansfield,June,-37.2421,146.3126,1721.614578,160,3486.269521,109,1172.849931,324,460,4949.641912,1743.13476,162, MANSFIELD
 Maribyrnong,June,-37.7908,144.8743,2818.70695,2696,7650.029211,901,942.008517,7317,9388,9815.289631,4734.089417,4528, MARIBYRNONG
 Maroondah,June,-37.8043,145.2612,2356.830658,2821,4909.158791,1306,1091.109833,5876,8006,6688.687079,2528.935272,3027, MAROONDAH
 Melbourne,June,-37.8116,144.9484,6444.260388,12083,14082.65295,1779,948.7990756,26405,35727,19054.38144,7273.592914,13638, MELBOURNE
 Melton,June,-37.6824,144.6359,2216.985852,3813,5590.432458,2870,1668.699028,9615,13378,7778.346898,2946.096856,5067, MELTON
 Mildura,June,-34.8654,141.8006,5759.935736,3226,9866.523521,1672,2985.310772,5526,7504,13398.18902,5479.616483,3069, MILDURA
 Mitchell,June,-37.1726,144.9765,3701.462114,1774,6641.349441,1092,2278.464841,3183,4691,9787.800888,3384.313162,1622, MITCHELL
 Moira,June,-36.0501,145.5808,3045.726527,914,5888.182465,457,1522.863263,1767,2452,8170.811207,3099.043402,930, MOIRA
 Monash,June,-37.8965,145.1412,1671.436627,3402,4686.114799,1446,710.4342629,9538,12078,5934.042205,2963.090622,6031, MONASH
 Moonee Valley,June,-37.7492,144.8876,1951.628602,2577,5033.187308,1165,882.2845642,6646,8611,6521.332517,3053.53765,4032, MOONEE VALLEY
 Moorabool,June,-37.6341,144.2164,1979.088043,712,4764.265318,480,1334.216658,1714,2219,6167.972427,2626.739046,945, MOORABOOL
 Moreland,June,-37.7355,144.9558,1991.456118,3758,5859.904671,2010,1065.148163,11058,14355,7607.065613,3893.884927,7348, MORELAND
 Mornington Peninsula,June,-38.3311,145.0821,2450.560071,4145,5162.434387,2211,1307.162441,8732,11807,6980.401147,2940.672085,4974, MORNINGTON PENINSULA
 Mount Alexander,June,-37.0762,144.2752,2008.320959,400,4262.661235,190,953.9524554,849,1103,5537.945044,2033.424971,405, MOUNT ALEXANDER
 Moyne,June,-38.1862,142.3722,1525.4129,260,2945.220292,170,997.3853577,502,654,3837.000141,1777.692726,303, MOYNE
 Murrindindi,June,-37.2809,145.6093,2016.369424,297,4297.514632,191,1296.722424,633,842,5716.441264,2579.866604,380, MURRINDINDI
 Nillumbik,June,-37.6143,145.2456,1204.466363,785,2500.99385,512,785.5882522,1630,2266,3476.841757,1408.535187,918, NILLUMBIK
 Northern Grampians,June,-36.8503,143.0224,4122.602691,467,6868.061871,238,2101.026639,778,1077,9507.586935,3416.375249,387, NORTHERN GRAMPIANS
 Port Phillip,June,-37.8586,144.9829,3034.295774,3572,8419.915933,1354,1150.178185,9912,13087,11116.97335,5444.233375,6409, PORT PHILLIP
 Pyrenees,June,-37.326,143.4243,1778.250214,133,4853.419756,93,1243.438119,363,547,7313.55539,3182.131961,238, PYRENEES
 Queenscliffe,June,-38.2752,144.6166,711.0712949,21,3352.193247,15,507.9080678,99,115,3893.961853,2200.93496,65, QUEENSCLIFFE
 South Gippsland,June,-38.6978,146.0096,2128.138688,641,4279.517579,408,1354.571895,1289,1669,5541.128658,2128.138688,641, SOUTH GIPPSLAND
 Southern Grampians,June,-37.5312,141.958,3271.018283,526,5547.050017,265,1647.946474,892,1188,7387.775134,2779.743674,447, SOUTHERN GRAMPIANS
 Stonnington,June,-37.8616,145.0394,2752.509478,3273,7879.089916,1040,874.6134607,9369,12162,10227.93164,4919.700716,5850, STONNINGTON
 Strathbogie,June,-36.7224,145.3746,1783.03403,194,3952.085737,152,1397.016353,430,567,5211.238634,2334.487854,254, STRATHBOGIE
 Surf Coast,June,-38.3398,144.0973,1254.215123,430,3085.952559,288,840.0324546,1058,1349,3934.735351,1951.325389,669, SURF COAST
 Swan Hill,June,-35.1004,143.0211,5144.463734,1059,8549.816971,603,2929.283883,1760,2417,11741.42478,4168.035773,858, SWAN HILL
 Towong,June,-36.3659,147.6027,1024.730079,62,2578.353103,44,727.2277983,156,226,3735.306419,1553.623024,94, TOWONG
 Wangaratta,June,-36.6165,146.4315,3501.455345,1028,6120.734684,582,1982.34145,1797,2508,8542.461095,2881.547881,846, WANGARATTA
 Warrnambool,June,-38.3777,142.502,3806.798371,1347,6794.01877,615,1738.070526,2404,3263,9221.665244,3399.835516,1203, WARRNAMBOOL
 Wellington,June,-37.9117,146.8803,4267.479844,1903,7445.10409,1411,3164.169238,3320,4599,10313.26317,4117.232262,1836, WELLINGTON
 West Wimmera,June,-36.5929,141.4002,1973.482221,75,3552.267998,35,920.9583699,135,169,4446.913272,1894.542932,72, WEST WIMMERA
 Whitehorse,June,-37.8336,145.156,1396.613903,2512,4117.564714,1302,723.8818874,7406,9341,5193.379962,2614.203252,4702, WHITEHORSE
 Whittlesea,June,-37.5509,145.0622,2413.009859,5718,5102.431306,3329,1404.846069,12091,16556,6986.672128,2810.11414,6659, WHITTLESEA
 Wodonga,June,-36.1451,146.9108,3350.650313,1439,6589.534667,837,1948.91891,2830,3854,8973.875126,3401.876378,1461, WODONGA
 Wyndham,June,-37.8934,144.6296,2127.209553,6030,4855.188237,3423,1207.535373,13763,17542,6188.310111,2601.333871,7374, WYNDHAM
 Yarra,June,-37.8048,144.9868,3883.823485,4006,11116.30556,1139,1104.262344,11466,14147,13715.5394,6572.251474,6779, YARRA
 Yarra Ranges,June,-37.75,145.7239,1778.627744,2853,3847.147496,1791,1116.551801,6171,8746,5452.463459,2112.782834,3389, YARRA RANGES
 Yarriambiack,June,-36.0263,142.3885,2883.703401,190,5479.036462,114,1730.22204,361,554,8408.272021,3824.701353,252, YARRIAMBIACK
